customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,payment_method,support_tickets,tech_support,online_security,senior_citizen,partner,paperless_billing,churn
C2650,13,79.82,1048.6,Month-to-month,Fiber optic,Electronic check,0,Yes,No,0,Yes,Yes,No
C1392,7,57.33,451.95,One year,DSL,Credit card,0,Yes,Yes,0,Yes,Yes,No
C3824,19,52.82,1004.08,Month-to-month,DSL,Mailed check,4,No,No,0,Yes,Yes,No
C1914,7,79.3,417.61,Two year,DSL,Mailed check,3,Yes,No,1,Yes,No,No
C1972,53,41.45,2149.24,Two year,DSL,Mailed check,0,No,Yes,0,No,No,No
C2125,66,74.36,4946.76,Month-to-month,DSL,Credit card,0,No,No,0,Yes,Yes,No
C1536,9,78.26,696.77,One year,DSL,Electronic check,2,No,No,0,No,Yes,Yes
C3337,55,53.38,2978.41,One year,Fiber optic,Bank transfer,0,No,No,0,No,Yes,Yes
C3042,33,87.49,2911.13,One year,DSL,Bank transfer,0,No,No,0,No,Yes,No
C3520,25,91.74,2239.23,One year,Fiber optic,Bank transfer,1,No,Yes,0,Yes,Yes,Yes
C1940,25,54.49,1268.76,Month-to-month,Fiber optic,Electronic check,1,No,No,0,Yes,Yes,No
C3027,45,42.56,,One year,Fiber optic,Electronic check,1,No,No,0,No,No,No
C1318,5,74.55,357.68,Month-to-month,Fiber optic,Bank transfer,3,No,No,1,No,No,Yes
C1532,36,70.34,2561.23,Month-to-month,DSL,Mailed check,3,Yes,No,0,Yes,No,Yes
C1828,24,64.79,1575.99,Month-to-month,No,Bank transfer,0,Yes,No,0,Yes,No,No
C3933,54,47.25,2521.51,Month-to-month,No,Mailed check,0,No,No,0,No,Yes,Yes
C2830,44,59.83,2679.9,One year,Fiber optic,Credit card,0,Yes,Yes,0,Yes,No,No
C1236,56,77.2,4382.14,Month-to-month,DSL,Electronic check,0,No,Yes,1,No,No,No
C1003,68,59.92,4069.34,Month-to-month,DSL,Bank transfer,4,No,Yes,1,Yes,Yes,Yes
C3858,47,39.76,1869.19,Month-to-month,No,Credit card,4,No,No,0,Yes,Yes,Yes
C3020,5,70.89,,Month-to-month,Fiber optic,Credit card,2,No,No,0,Yes,Yes,Yes
C3519,16,52.66,826.46,One year,DSL,Mailed check,0,No,Yes,1,Yes,Yes,No
C2656,60,72.54,4381.23,Month-to-month,DSL,Mailed check,0,Yes,No,1,No,No,No
C2838,26,87.37,2289.03,One year,DSL,Credit card,3,Yes,Yes,0,Yes,Yes,No
C2117,62,51.62,3172.45,Month-to-month,No,Credit card,1,No,No,1,Yes,Yes,No
C3598,45,45.19,1942.92,Month-to-month,DSL,Bank transfer,1,No,No,0,Yes,Yes,Yes
C3698,9,57.41,491.64,Month-to-month,No,Mailed check,0,Yes,No,0,No,Yes,Yes
C1388,39,60.36,2292.16,One year,DSL,Credit card,0,No,No,0,No,Yes,No
C1961,3,59.74,215.89,Month-to-month,No,Bank transfer,3,Yes,No,0,Yes,Yes,No
C3796,17,71.1,1253.69,Month-to-month,No,Electronic check,3,No,Yes,0,No,Yes,Yes
C2755,26,39.32,990.34,Month-to-month,DSL,Mailed check,1,Yes,Yes,0,No,No,No
C1025,56,76.79,4285.13,Month-to-month,Fiber optic,Mailed check,3,No,Yes,0,No,No,Yes
C3665,58,66.01,3904.59,Month-to-month,Fiber optic,Electronic check,3,Yes,Yes,1,Yes,No,No
C1814,71,92.48,6561.25,One year,DSL,Credit card,2,No,No,0,No,Yes,No
C3036,47,64.36,3037.0,Month-to-month,Fiber optic,Electronic check,0,No,No,0,No,Yes,Yes
C2035,38,88.46,3347.47,Month-to-month,DSL,Electronic check,0,Yes,No,0,Yes,Yes,No
C3701,8,54.15,402.88,One year,DSL,Electronic check,1,Yes,No,0,Yes,No,No
C1160,43,84.6,3581.75,Month-to-month,DSL,Bank transfer,0,Yes,No,1,No,Yes,No
C1724,43,96.73,4095.86,Month-to-month,Fiber optic,Electronic check,0,No,No,0,No,Yes,Yes
C2288,49,54.66,2744.53,One year,Fiber optic,Electronic check,1,Yes,No,0,No,No,No
C1226,43,64.98,2795.09,One year,DSL,Mailed check,0,No,Yes,0,No,No,No
C3138,6,50.59,302.43,Month-to-month,Fiber optic,Electronic check,1,No,No,1,Yes,Yes,Yes
C3791,56,51.97,2915.68,Month-to-month,DSL,Credit card,3,No,Yes,1,No,Yes,No
C3325,45,60.96,2758.64,One year,Fiber optic,Mailed check,0,No,No,0,No,No,No
C3759,54,49.82,2707.37,Month-to-month,DSL,Mailed check,1,No,Yes,0,Yes,Yes,No
C2417,22,83.42,1864.11,Month-to-month,DSL,Electronic check,0,Yes,No,0,Yes,Yes,Yes
C2123,24,48.75,1125.28,Month-to-month,Fiber optic,Bank transfer,1,No,No,0,No,Yes,No
C2912,42,47.49,1880.38,One year,No,Credit card,1,Yes,Yes,0,Yes,Yes,No
C2370,1,39.43,40.41,Month-to-month,No,Bank transfer,1,No,Yes,1,No,No,Yes
C3123,46,44.89,2005.43,Month-to-month,Fiber optic,Electronic check,0,Yes,No,0,No,Yes,No
C1915,8,18.54,150.56,Month-to-month,No,Bank transfer,3,Yes,Yes,0,Yes,Yes,Yes
C1469,63,76.16,4887.82,Month-to-month,No,Credit card,0,No,Yes,0,Yes,Yes,Yes
C2243,13,89.12,1038.91,Month-to-month,DSL,Credit card,2,Yes,No,0,No,No,Yes
C1022,70,64.64,4521.6,One year,DSL,Credit card,3,Yes,No,0,Yes,Yes,No
C1671,46,84.08,3844.67,Month-to-month,DSL,Bank transfer,1,No,No,0,Yes,Yes,No
C2290,31,59.19,1796.01,Month-to-month,No,Bank transfer,1,No,No,0,Yes,Yes,Yes
C1350,67,47.14,3130.32,One year,Fiber optic,Credit card,3,Yes,Yes,0,Yes,Yes,No
C2456,70,91.7,6464.62,Month-to-month,Fiber optic,Electronic check,2,Yes,Yes,1,No,Yes,No
C2927,6,84.53,493.92,Month-to-month,Fiber optic,Mailed check,1,No,Yes,0,Yes,Yes,No
C1202,53,60.09,3154.08,One year,DSL,Bank transfer,1,Yes,Yes,0,Yes,Yes,No
C2235,10,57.72,646.46,Month-to-month,Fiber optic,Bank transfer,0,No,No,0,No,Yes,Yes
C2866,32,70.14,2303.76,One year,DSL,Credit card,1,Yes,Yes,0,No,No,No
C1481,30,25.39,710.84,Two year,Fiber optic,Credit card,3,No,No,0,No,No,No
C1800,48,19.91,1005.74,Month-to-month,Fiber optic,Bank transfer,2,No,Yes,0,Yes,Yes,Yes
C3883,48,49.06,2398.44,Month-to-month,Fiber optic,Credit card,1,Yes,No,0,No,Yes,Yes
C1334,21,100.43,2069.43,One year,DSL,Mailed check,0,No,Yes,1,No,Yes,Yes
C1328,32,58.61,1837.0,One year,DSL,Bank transfer,1,No,No,0,Yes,No,No
C2568,22,90.99,1971.33,Month-to-month,No,Mailed check,0,Yes,Yes,1,No,Yes,No
C1850,36,66.14,2371.09,Two year,Fiber optic,Electronic check,3,Yes,No,0,Yes,No,No
C1894,31,73.93,2227.59,Two year,Fiber optic,Mailed check,0,No,Yes,0,Yes,No,Yes
C1072,54,44.47,2365.94,Month-to-month,No,Mailed check,2,No,No,0,Yes,No,No
C3843,31,85.17,2692.26,One year,Fiber optic,Bank transfer,1,Yes,No,1,Yes,No,No
C1370,65,63.45,4076.69,One year,Fiber optic,Mailed check,1,Yes,No,1,No,No,No
C2944,33,65.48,2046.85,Month-to-month,Fiber optic,Bank transfer,1,No,No,0,No,Yes,No
C1630,23,50.44,1142.73,Month-to-month,DSL,Electronic check,3,No,Yes,0,Yes,No,Yes
C1347,23,59.44,1312.68,One year,DSL,Bank transfer,0,Yes,No,0,No,Yes,No
C3897,8,50.34,323.04,Month-to-month,DSL,Mailed check,5,Yes,No,0,No,No,Yes
C3772,57,66.65,3805.94,One year,Fiber optic,Mailed check,2,Yes,No,0,Yes,No,No
C2444,54,49.53,2644.21,Month-to-month,No,Electronic check,4,Yes,No,0,Yes,Yes,Yes
C2663,5,86.27,502.22,Month-to-month,Fiber optic,Credit card,0,No,Yes,0,No,Yes,No
C1006,15,71.11,1140.22,Month-to-month,DSL,Electronic check,2,No,Yes,1,No,Yes,Yes
C3614,68,43.59,2998.47,Two year,DSL,Electronic check,1,No,Yes,0,Yes,Yes,No
C2331,20,54.39,1142.67,Month-to-month,DSL,Mailed check,2,No,Yes,0,Yes,No,No
C3645,36,72.96,2633.16,Month-to-month,DSL,Bank transfer,2,Yes,Yes,0,No,Yes,No
C2326,9,87.92,760.5,Two year,Fiber optic,Mailed check,0,No,Yes,0,No,No,Yes
C3716,63,44.68,2854.52,Two year,Fiber optic,Bank transfer,0,No,Yes,0,Yes,No,No
C2924,7,31.96,188.14,One year,No,Credit card,2,No,Yes,0,No,Yes,No
C1000,48,26.78,1262.04,Two year,Fiber optic,Electronic check,1,Yes,Yes,1,No,Yes,No
C2708,21,34.28,825.02,Month-to-month,DSL,Mailed check,3,No,No,0,Yes,Yes,No
C2832,32,87.89,2820.03,One year,DSL,Mailed check,1,No,No,0,Yes,No,No
C2727,3,68.1,227.83,Month-to-month,DSL,Credit card,2,Yes,Yes,0,Yes,Yes,No
C3691,45,50.94,2223.66,One year,Fiber optic,Mailed check,1,Yes,No,1,No,Yes,No
C3294,34,76.54,2632.11,Month-to-month,Fiber optic,Credit card,2,No,No,0,No,Yes,Yes
C1551,34,76.19,2599.15,One year,DSL,Electronic check,1,Yes,Yes,0,No,Yes,No
C2888,65,47.47,3157.7,One year,No,Electronic check,2,Yes,Yes,0,Yes,Yes,No
C3432,4,54.6,193.68,Month-to-month,Fiber optic,Mailed check,3,Yes,No,0,Yes,Yes,Yes
C3731,4,87.28,398.29,Month-to-month,DSL,Mailed check,1,Yes,Yes,0,Yes,Yes,Yes
C2902,35,105.85,3752.93,One year,Fiber optic,Mailed check,0,No,No,0,Yes,No,No
C3904,59,72.66,4230.28,Month-to-month,DSL,Mailed check,2,No,Yes,1,Yes,No,No
C3253,14,49.46,691.06,Month-to-month,Fiber optic,Mailed check,2,No,No,0,No,No,No
C3331,45,67.02,2990.05,Month-to-month,DSL,Bank transfer,1,No,No,0,Yes,Yes,No
C1805,64,64.62,4203.45,One year,No,Bank transfer,3,No,Yes,0,Yes,Yes,No
C2187,53,92.85,4940.66,Two year,Fiber optic,Bank transfer,2,No,No,0,No,No,No
C3624,43,65.62,2823.38,Month-to-month,DSL,Bank transfer,0,Yes,Yes,0,No,Yes,No
C3405,24,67.72,1636.87,Month-to-month,Fiber optic,Electronic check,0,No,No,0,No,No,No
C1822,34,40.17,1420.91,Month-to-month,Fiber optic,Bank transfer,2,No,No,0,Yes,No,Yes
C1322,40,56.19,2299.87,Month-to-month,DSL,Bank transfer,2,No,No,1,No,No,Yes
C1562,6,69.61,335.44,Two year,No,Mailed check,0,Yes,No,0,No,Yes,No
C1246,21,111.0,2320.05,One year,DSL,Electronic check,1,Yes,Yes,0,No,No,No
C1404,56,71.6,3959.44,Month-to-month,DSL,Bank transfer,1,No,Yes,0,No,Yes,Yes
C3704,60,73.31,4304.74,Month-to-month,DSL,Credit card,2,No,No,0,Yes,Yes,No
C2740,13,70.0,898.19,Month-to-month,Fiber optic,Credit card,1,No,Yes,1,No,Yes,Yes
C1719,37,77.3,2855.52,One year,Fiber optic,Electronic check,2,No,No,0,No,No,No
C3335,8,63.83,537.09,Month-to-month,No,Bank transfer,2,No,No,0,Yes,No,Yes
C1669,31,96.76,2999.71,One year,Fiber optic,Mailed check,0,Yes,Yes,0,No,No,No
C1654,29,65.94,1891.64,Two year,Fiber optic,Electronic check,0,Yes,No,0,No,Yes,No
C2544,2,72.18,178.61,Month-to-month,DSL,Mailed check,1,No,Yes,0,Yes,No,Yes
C2496,47,85.17,4072.16,One year,Fiber optic,Mailed check,2,No,No,0,Yes,No,No
C1922,50,80.66,4088.28,Month-to-month,Fiber optic,Mailed check,2,No,No,0,No,Yes,Yes
C2157,6,85.62,486.06,Month-to-month,Fiber optic,Credit card,2,No,No,0,No,Yes,Yes
C1120,37,85.04,3253.04,One year,DSL,Credit card,1,Yes,Yes,0,Yes,Yes,No
C3626,11,48.1,441.58,Month-to-month,Fiber optic,Electronic check,1,Yes,Yes,0,Yes,Yes,No
C3732,9,88.84,730.94,Month-to-month,Fiber optic,Bank transfer,2,Yes,No,0,No,Yes,Yes
C1870,49,42.12,2031.97,Month-to-month,Fiber optic,Bank transfer,4,Yes,Yes,0,Yes,Yes,Yes
C2075,38,87.08,3342.66,Two year,No,Mailed check,4,Yes,No,0,No,No,No
C3395,20,37.87,770.61,One year,Fiber optic,Bank transfer,0,Yes,No,0,Yes,Yes,No
C1208,5,74.94,412.41,Month-to-month,Fiber optic,Mailed check,2,No,No,1,No,No,Yes
C1584,47,66.67,3080.99,Month-to-month,Fiber optic,Credit card,1,Yes,No,0,No,Yes,No
C1472,23,50.42,1127.55,Month-to-month,DSL,Credit card,1,Yes,No,0,Yes,Yes,No
C1126,64,69.94,,One year,DSL,Bank transfer,2,No,No,0,Yes,No,No
C3756,36,70.93,2585.29,Month-to-month,Fiber optic,Electronic check,1,No,Yes,0,No,Yes,No
C3164,68,86.59,5927.12,Month-to-month,DSL,Credit card,0,No,No,0,No,No,Yes
C1586,16,75.98,1137.18,One year,Fiber optic,Mailed check,0,No,Yes,0,Yes,Yes,No
